"","GOID","countMC","countUC","total","proportion.MC","proportion.UC","MC.Pvalue","UC.Pvalue","age"
"1","GO:0005982",10,18,28,0.357142857142857,0.642857142857143,0.4517,0.6974,NA
"2","GO:0005996",4,64,68,0.0588235294117647,0.941176470588235,1,0,"UC"
"3","GO:0006091",49,155,204,0.240196078431373,0.759803921568627,0.9989,0.0021,"UC"
"4","GO:0006766",3,32,35,0.0857142857142857,0.914285714285714,0.9998,5e-04,"UC"
"5","GO:0006979",85,151,236,0.360169491525424,0.639830508474576,0.1971,0.8397,NA
"6","GO:0009110",2,27,29,0.0689655172413793,0.931034482758621,1,0.0012,"UC"
"7","GO:0009409",112,110,222,0.504504504504504,0.495495495495495,0,1,"MC"
"8","GO:0009637",37,18,55,0.672727272727273,0.327272727272727,0,1,"MC"
"9","GO:0009642",46,66,112,0.410714285714286,0.589285714285714,0.0482,0.9693,NA
"10","GO:0009657",68,63,131,0.519083969465649,0.480916030534351,0,1,"MC"
"11","GO:0009735",51,75,126,0.404761904761905,0.595238095238095,0.0489,0.9666,NA
"12","GO:0009767",17,17,34,0.5,0.5,0.0326,0.9848,NA
"13","GO:0009853",2,17,19,0.105263157894737,0.894736842105263,0.9953,0.0257,"UC"
"14","GO:0010025",7,9,16,0.4375,0.5625,0.2547,0.8761,NA
"15","GO:0010027",4,18,22,0.181818181818182,0.818181818181818,0.9664,0.0955,NA
"16","GO:0010109",11,18,29,0.379310344827586,0.620689655172414,0.372,0.7623,NA
"17","GO:0010166",7,9,16,0.4375,0.5625,0.2594,0.8748,NA
"18","GO:0010206",4,8,12,0.333333333333333,0.666666666666667,0.6023,0.6259,NA
"19","GO:0015979",42,64,106,0.39622641509434,0.60377358490566,0.1014,0.9283,NA
"20","GO:0015994",17,17,34,0.5,0.5,0.0345,0.9822,NA
"21","GO:0015995",11,12,23,0.478260869565217,0.521739130434783,0.1085,0.953,NA
"22","GO:0016108",6,13,19,0.315789473684211,0.684210526315789,0.6417,0.5499,NA
"23","GO:0016114",41,33,74,0.554054054054054,0.445945945945946,0,1,"MC"
"24","GO:0016116",6,13,19,0.315789473684211,0.684210526315789,0.6404,0.5491,NA
"25","GO:0016117",5,12,17,0.294117647058824,0.705882352941177,0.7154,0.4837,NA
"26","GO:0016226",1,13,14,0.0714285714285714,0.928571428571429,0.9967,0.028,"UC"
"27","GO:0019252",3,6,9,0.333333333333333,0.666666666666667,0.6231,0.646,NA
"28","GO:0019684",32,46,78,0.41025641025641,0.58974358974359,0.0895,0.9426,NA
"29","GO:0022900",22,47,69,0.318840579710145,0.681159420289855,0.6412,0.4559,NA
"30","GO:0030091",4,9,13,0.307692307692308,0.692307692307692,0.6743,0.5538,NA
"31","GO:0031152",5,2,7,0.714285714285714,0.285714285714286,0.0457,0.9929,"MC"
"32","GO:0031163",1,13,14,0.0714285714285714,0.928571428571429,0.9963,0.0261,"UC"
"33","GO:0032544",5,5,10,0.5,0.5,0.2045,0.927,NA
"34","GO:0032787",67,169,236,0.283898305084746,0.716101694915254,0.9597,0.054,NA
"35","GO:0033014",12,19,31,0.387096774193548,0.612903225806452,0.3232,0.7948,NA
"36","GO:0042254",29,162,191,0.151832460732984,0.848167539267016,1,0,"UC"
"37","GO:0042440",39,50,89,0.438202247191011,0.561797752808989,0.0243,0.986,NA
"38","GO:0042548",7,11,18,0.388888888888889,0.611111111111111,0.3908,0.7757,NA
"39","GO:0045036",9,9,18,0.5,0.5,0.1116,0.954,NA
"40","GO:0046148",32,38,70,0.457142857142857,0.542857142857143,0.0189,0.9906,NA
"41","GO:0046496",2,43,45,0.0444444444444444,0.955555555555556,1,0,"UC"
"42","GO:0048564",1,7,8,0.125,0.875,0.9608,0.1916,NA
"43","GO:0048573",56,17,73,0.767123287671233,0.232876712328767,0,1,"MC"
"44","GO:0051186",37,189,226,0.163716814159292,0.836283185840708,1,0,"UC"
"45","GO:0051188",15,111,126,0.119047619047619,0.880952380952381,1,0,"UC"
"46","GO:0071482",40,25,65,0.615384615384615,0.384615384615385,0,1,"MC"
"47","GO:0072524",2,47,49,0.0408163265306122,0.959183673469388,1,0,"UC"
"48","GO:0072596",9,9,18,0.5,0.5,0.1049,0.9578,NA
"49","GO:0098630",4,2,6,0.666666666666667,0.333333333333333,0.1016,0.9826,NA
"50","GO:0098743",4,2,6,0.666666666666667,0.333333333333333,0.1021,0.981,NA
"51","GO:0010189",0,6,6,0,1,1,0.0859,NA
"52","GO:0019359",0,23,23,0,1,1,1e-04,"UC"
"53","GO:0042181",0,8,8,0,1,1,0.0347,"UC"
"54","GO:0042360",0,6,6,0,1,1,0.0877,NA
"55","GO:0072525",0,27,27,0,1,1,0,"UC"
"56","GO:1901661",0,7,7,0,1,1,0.0579,NA
"57","GO:1901663",0,7,7,0,1,1,0.0587,NA
